"date","close","volume","open","high","low"
"2007/07/23","105.6900","3385.0000","105.6700","106.1520","105.6300"
"2007/07/20","105.5400","18912.0000","106.3800","106.3800","105.1400"
"2007/07/19","107.0500","16278.0000","106.8500","107.0500","106.4901"
"2007/07/18","105.8900","7271.0000","106.2400","106.2400","105.1600"
"2007/07/17","106.5200","163878.0000","105.9700","106.8700","105.9700"
"2007/07/16","106.0100","13824.0000","105.9700","106.4940","105.8100"
"2007/07/13","106.3500","34382.0000","105.9800","106.3800","105.5900"
"2007/07/12","106.0800","10499.0000","104.6600","106.1100","104.6600"
"2007/07/11","104.0500","9081.0000","103.6700","104.1300","103.5000"
"2007/07/10","103.7200","12361.0000","104.5000","104.5000","103.6200"
"2007/07/09","104.8800","264662.0000","104.8700","105.1500","104.5700"
"2007/07/06","104.7440","4363.0000","104.4700","104.7860","104.1640"
"2007/07/05","104.4800","130294.0000","103.6800","104.4800","103.6800"
"2007/07/03","103.7500","1499.0000","103.4600","103.8420","103.4600"
"2007/07/02","103.4400","15587.0000","102.2300","103.4400","102.2300"
"2007/06/29","102.1600","5517.0000","103.1700","103.1700","102.0000"
"2007/06/28","102.5600","11825.0000","102.5700","103.1100","102.4000"
"2007/06/27","102.4600","94710.0000","100.7500","102.4600","100.7500"
"2007/06/26","101.1200","13001.0000","101.7000","101.7800","100.9800"
"2007/06/25","101.1000","3265.0000","101.6400","102.4300","100.9500"
"2007/06/22","101.6300","21005.0000","102.6500","102.6500","101.4620"
"2007/06/21","102.8000","14305.0000","102.1500","102.8000","101.5800"
"2007/06/20","102.2590","11252.0000","103.5900","103.5900","102.2500"
"2007/06/19","103.1780","5300.0000","102.8500","103.3400","102.8500"
"2007/06/18","103.3700","11877.0000","103.7700","103.8499","102.5900"
"2007/06/15","103.2530","7965.0000","103.0600","103.3800","102.8100"
"2007/06/14","102.1400","12701.0000","102.2600","102.5600","101.8185"
"2007/06/13","101.4100","10969.0000","100.7400","101.4100","100.4800"
"2007/06/12","100.2000","19696.0000","100.2100","101.1100","100.2000"
"2007/06/11","101.0500","14001.0000","100.9000","101.6040","100.8400"
"2007/06/08","101.0700","23752.0000","99.8100","101.0700","99.8000"
"2007/06/07","100.1100","34153.0000","101.2700","101.6400","99.9400"
"2007/06/06","101.8895","9673.0000","102.0005","102.0005","101.5440"
"2007/06/05","102.6700","5846.0000","102.7000","102.7000","102.0425"
"2007/06/04","102.8600","22188.0000","102.1800","102.9400","102.1800"
"2007/06/01","102.8000","15454.0000","103.0000","103.2500","102.6200"
"2007/05/31","102.2900","17502.0000","102.3100","102.5570","101.9800"
"2007/05/30","101.9200","78300.0000","100.5400","101.9200","100.3100"
"2007/05/29","101.0600","83953.0000","100.7400","101.2460","100.6960"
"2007/05/25","100.5300","16520.0000","100.2500","100.5830","100.0300"
"2007/05/24","99.7000","64398.0000","101.4800","101.6200","99.5600"
"2007/05/23","101.5100","14884.0000","101.9500","102.1940","101.4020"
"2007/05/22","101.6700","78485.0000","101.5300","101.9100","101.2900"
"2007/05/21","101.2900","109580.0000","100.7800","101.8500","100.7070"
"2007/05/18","100.4500","7651.0000","100.0300","100.4680","99.8200"
"2007/05/17","99.9000","3315.0000","99.7800","100.1400","99.7400"
"2007/05/16","100.0800","15049.0000","99.5000","100.0800","99.2100"
"2007/05/15","99.1800","7621.0000","99.6800","100.5190","99.1700"
"2007/05/14","100.0800","9911.0000","100.6400","100.8600","99.8200"
"2007/05/11","100.6500","17421.0000","99.7200","100.6500","99.7200"
"2007/05/10","99.6600","6097.0000","100.6600","100.8600","99.6600"
"2007/05/09","101.2100","10286.0000","100.4800","101.3000","100.4800"
"2007/05/08","100.9700","7556.0000","100.4600","101.0200","100.4600"
"2007/05/07","100.9710","5787.0000","100.8300","101.3800","100.8300"
"2007/05/04","101.0200","11957.0000","101.1500","101.3900","100.6800"
"2007/05/03","100.7800","8855.0000","101.0000","101.1400","100.4500"
"2007/05/02","100.5900","8712.0000","100.0000","100.7000","99.7600"
"2007/05/01","99.4200","8560.0000","98.9700","99.4900","98.9500"
"2007/04/30","99.3100","22338.0000","100.6800","100.6800","98.5000"
"2007/04/27","100.5690","1909.0000","100.5600","100.7500","100.3740"
"2007/04/26","100.5000","7116.0000","100.6500","100.6500","99.7600"
"2007/04/25","100.0900","28602.0000","99.5900","100.3400","99.1900"
"2007/04/24","99.2300","9566.0000","99.1400","99.3100","99.0500"
"2007/04/23","99.1900","14934.0000","99.4500","99.5300","98.9900"
"2007/04/20","99.3300","7863.0000","99.3900","99.5200","98.8400"
"2007/04/19","98.4100","4082.0000","98.1000","98.6120","97.9000"
"2007/04/18","98.7900","3950.0000","98.3600","98.7900","98.3600"
"2007/04/17","98.8700","7925.0000","99.0000","99.0500","98.8500"
"2007/04/16","98.8900","29150.0000","98.0400","99.1100","98.0400"
"2007/04/13","97.8900","11857.0000","97.4900","97.8900","97.0500"
"2007/04/12","97.4200","9401.0000","96.5300","97.4200","96.5300"
"2007/04/11","96.5000","7276.0000","97.2130","97.2130","96.3800"
"2007/04/10","97.3400","22338.0000","97.1800","97.4260","97.1560"
"2007/04/09","97.0600","9064.0000","97.2800","97.4300","97.0600"
"2007/04/05","96.9900","5916.0000","96.6800","97.0700","96.5700"
"2007/04/04","96.4900","19338.0000","96.4000","96.6650","96.3400"
"2007/04/03","96.3000","132118.0000","95.4600","96.4900","95.4600"
"2007/04/02","95.1800","2782.0000","95.0800","95.1800","94.8100"
"2007/03/30","95.1400","3225.0000","95.4700","95.4700","94.5900"
"2007/03/29","94.9600","11554.0000","95.6500","95.6500","94.4454"
"2007/03/28","95.1800","10169.0000","95.2500","95.4900","94.9300"
"2007/03/27","95.8200","7643.0000","96.0800","96.0800","95.7400"
"2007/03/26","96.4200","13826.0000","96.1000","96.4400","95.3700"
"2007/03/23","96.2700","10946.0000","96.4400","96.5500","96.1300"
"2007/03/22","96.3000","8475.0000","96.6700","96.6700","95.9800"
"2007/03/21","96.3600","28698.0000","94.5100","96.3600","94.4700"
"2007/03/20","94.5300","11437.0000","93.9500","94.6300","93.9500"
"2007/03/19","93.9400","4261.0000","93.8400","94.1200","93.5810"
"2007/03/16","93.1300","38795.0000","93.7600","93.7600","92.8500"
"2007/03/15","93.5800","6522.0000","93.2300","93.5800","93.1600"
"2007/03/14","93.2300","14186.0000","92.3100","93.2300","91.7700"
"2007/03/13","92.4800","21923.0000","94.0700","94.0700","92.4400"
"2007/03/12","94.4100","53913.0000","93.6700","94.5900","93.6700"
"2007/03/09","93.9500","30109.0000","94.4400","94.6099","93.4000"
"2007/03/08","93.8400","15845.0000","94.3300","94.9900","93.6900"
"2007/03/07","93.4000","14827.0000","93.0000","93.9000","93.0000"
"2007/03/06","93.7200","109042.0000","92.7200","93.9100","92.7200"
"2007/03/05","92.1500","31112.0000","91.8900","93.2600","91.1400"
"2007/03/02","93.0300","18599.0000","93.9500","94.9900","93.0300"
"2007/03/01","94.5100","36027.0000","93.5900","95.0900","91.8900"
"2007/02/28","94.9200","35993.0000","94.2100","95.4400","94.0000"
